x;y
10;0
11;0
12;28
13;10
14;13
15;11
16;11
17;19
18;20
19;21
20;20
21;20
22;31
23;31
24;51
25;52
26;52
27;52
28;56
29;52
30;54
31;64
32;45
33;54
34;51
35;59
36;58
37;55
38;59
39;54
40;61
41;61
42;65
43;61
44;62
45;73
46;89
47;100
48;112
49;117
50;113
51;118
52;116
53;119
54;113
55;120
56;120
57;123
58;146
59;162
60;164
61;164
62;220
63;149
64;190
65;156
66;142
67;143
68;150
69;186
70;173
71;170
72;176
73;177
74;189
75;172
76;174
77;175
78;256
79;275
80;210
81;161
82;199
83;185
84;164
85;166
86;163
87;166
88;164
89;211
90;191
91;201
92;215
93;228
94;263
95;266
96;280
97;295
98;289
99;303
100;299
101;315
102;289
103;285
104;303
105;330
106;280
107;294
108;272
109;272
110;274
111;294
112;284
113;284
114;318
115;290
116;293
117;312
118;303
119;298
120;327
121;342
122;314
123;314
124;340
125;351
126;354
127;344
128;322
129;327
130;349
131;331
132;352
133;330
134;375
135;360
136;366
137;382
138;340
139;341
140;349
141;357
142;339
143;340
144;359
145;358
146;346
147;447
148;394
149;496
150;340
151;365
152;354
153;350
154;349
155;353
156;351
157;397
158;358
159;356
160;356
161;358
162;363
163;366
164;358
165;361
166;364
167;359
168;457
169;407
170;463
171;443
172;373
173;369
174;427
175;367
176;375
177;411
178;387
179;399
180;437
181;434
182;445
183;462
184;562
185;533
186;701
187;789
188;733
189;556
190;557
191;738
192;589
193;602
194;586
195;594
196;607
197;588
198;650
199;655
200;875
201;593
202;739
203;623
204;688
205;636
206;606
207;604
208;603
209;806
210;719
211;784
212;626
213;632
214;611
215;602
216;607
217;612
218;615
219;611
220;611
221;901
222;965
223;621
224;847
225;620
226;681
227;632
228;622
229;835
230;640
231;625
232;854
233;734
234;736
235;627
236;625
237;626
238;624
239;647
240;645
241;629
242;631
243;635
244;637
245;629
246;637
247;681
248;1755
249;873
250;707
251;679
252;708
253;693
254;679
255;723
256;734
257;764
258;783
259;802
260;834
261;878
262;882
263;870
264;887
265;884
266;974
267;872
268;873
269;883
270;914
271;916
272;935
273;932
274;924
275;928
276;952
277;901
278;917
279;883
280;893
281;903
282;904
283;896
284;1006
285;874
286;840
287;817
288;813
289;830
290;824
291;833
292;824
293;822
294;772
295;799
296;914
297;855
298;762
299;773
300;764
301;780
302;819
303;814
304;783
305;772
306;773
307;773
308;783
309;782
310;775
311;775
312;798
313;777
314;776
315;779
316;781
317;785
318;783
319;792
320;939
321;1120
322;1226
323;985
324;890
325;900
326;1022
327;928
328;795
329;828
330;847
331;894
332;896
333;859
334;817
335;812
336;811
337;839
338;896
339;854
340;800
341;803
342;911
343;879
344;794
345;809
346;867
347;806
348;810
349;818
350;808
351;813
352;808
353;822
354;861
355;925
356;981
357;890
358;895
359;921
360;953
361;989
362;1021
363;1065
364;1125
365;1120
366;1117
367;1141
368;1184
369;1258
370;1533
371;1286
372;1266
373;1251
374;1283
375;1326
376;1280
377;1269
378;1279
379;1265
380;1233
381;1215
382;1946
383;1452
384;1248
385;1256
386;1470
387;1427
388;1252
389;1256
390;1254
391;1271
392;1252
393;1257
394;1893
395;1846
396;1296
397;1351
398;1345
399;1427
400;1459
401;1523
402;1579
403;1550
404;1514
405;1652
406;1431
407;1407
408;1414
409;1398
410;1401
411;1429
412;1453
413;1548
414;1326
415;1479
416;1993
417;1852
418;1293
419;1288
420;1288
421;1615
422;1692
423;1308
424;1295
425;1294
426;1881
427;2120
428;1459
429;1302
430;1302
431;1303
432;1590
433;1374
434;1311
435;1311
436;1446
437;1531
438;1600
439;1525
440;1313
441;1333
442;1322
443;1398
444;1907
445;1299
446;1288
447;1830
448;1345
449;1954
450;1508
451;1336
452;1321
453;1326
454;1523
455;1686
456;1359
457;1512
458;1569
459;1572
460;1738
461;2353
462;1504
463;1361
464;1556
465;1821
466;1469
467;1643
468;1585
469;1485
470;1474
471;1561
472;1688
473;1603
474;1677
475;1422
476;1368
477;1395
478;1358
479;1349
480;1386
481;1349
482;1394
483;1360
484;1361
485;1354
486;1363
487;1349
488;1508
489;1721
490;1379
491;1399
492;1733
493;2216
494;1981
495;1526
496;1395
497;1449
498;1444
499;1377
