x;y
500;2071
600;2854
700;3200
800;3500
900;3342
1000;3272
1100;3684
1200;3861
1300;4120
1400;3679
1500;4035
1600;4322
1700;5525
1800;6448
1900;6377
2000;6612
2100;7038
2200;7578
2300;7569
2400;7809
2500;8388
2600;9264
2700;9158
2800;9496
2900;9578
3000;9676
3100;9979
3200;9654
3300;8739
3400;11050
3500;12828
3600;12874
3700;12789
3800;13295
3900;13190
4000;14527
4100;17509
4200;20123
4300;18168
4400;16354
4500;15947
4600;16140
4700;19896
4800;17060
4900;17041
5000;16921
5100;17389
5200;17394
5300;17561
5400;16859
5500;17474
5600;17547
5700;18852
5800;18363
5900;18810
6000;16337
6100;14111
6200;14019
6300;17769
6400;18028
6500;18558
6600;18062
6700;19961
6800;21595
6900;25270
7000;19989
7100;22260
7200;19584
7300;21238
7400;19869
7500;19538
7600;20217
7700;19843
7800;19937
7900;20211
8000;22615
8100;22065
8200;20487
8300;22274
8400;22374
8500;27351
8600;25248
8700;24809
8800;23666
8900;23140
9000;23096
9100;23708
9200;25631
9300;23789
9400;23903
9500;24340
9600;25040
9700;26648
9800;26269
9900;25546
