x;y
10;0
11;0
12;0
13;0
14;0
15;2
16;9
17;26
18;40
19;20
20;20
21;21
22;20
23;23
24;20
25;26
26;22
27;42
28;29
29;30
30;30
31;31
32;30
33;47
34;69
35;89
36;63
37;63
38;66
39;62
40;63
41;65
42;66
43;63
44;65
45;68
46;70
47;83
48;72
49;80
50;72
51;73
52;74
53;83
54;76
55;73
56;79
57;83
58;77
59;86
60;84
61;91
62;87
63;86
64;84
65;106
66;120
67;140
68;151
69;159
70;156
71;162
72;166
73;161
74;165
75;167
76;170
77;175
78;197
79;268
80;222
81;241
82;192
83;208
84;212
85;188
86;249
87;204
88;201
89;211
90;198
91;202
92;231
93;187
94;193
95;193
96;196
97;215
98;204
99;199
100;215
101;214
102;215
103;198
104;204
105;207
106;227
107;209
108;213
109;215
110;263
111;219
112;229
113;235
114;232
115;237
116;223
117;221
118;232
119;242
120;224
121;227
122;222
123;244
124;220
125;221
126;223
127;231
128;230
129;249
130;264
131;316
132;305
133;320
134;341
135;355
136;370
137;378
138;384
139;379
140;393
141;518
142;414
143;440
144;399
145;418
146;420
147;412
148;398
149;415
150;409
151;410
152;447
153;422
154;426
155;431
156;436
157;671
158;513
159;447
160;467
161;465
162;469
163;444
164;468
165;435
166;698
167;742
168;714
169;788
170;584
171;525
172;476
173;439
174;439
175;447
176;453
177;432
178;446
179;439
180;449
181;441
182;440
183;442
184;448
185;445
186;453
187;544
188;469
189;541
190;441
191;499
192;458
193;464
194;461
195;462
196;462
197;469
198;468
199;469
200;475
201;481
202;467
203;481
204;481
205;477
206;475
207;503
208;483
209;485
210;481
211;483
212;485
213;488
214;484
215;493
216;488
217;494
218;489
219;499
220;586
221;493
222;514
223;492
224;489
225;491
226;526
227;508
228;505
229;513
230;512
231;515
232;516
233;515
234;513
235;518
236;513
237;525
238;519
239;533
240;536
241;526
242;531
243;529
244;531
245;535
246;534
247;538
248;537
249;677
250;1022
251;685
252;573
253;745
254;593
255;575
256;683
257;659
258;648
259;643
260;697
261;731
262;748
263;775
264;822
265;874
266;903
267;945
268;998
269;1095
270;1053
271;1036
272;1066
273;1068
274;1067
275;1073
276;1042
277;1048
278;1084
279;1012
280;995
281;968
282;986
283;935
284;1053
285;921
286;900
287;902
288;916
289;892
290;882
291;888
292;901
293;885
294;890
295;891
296;894
297;894
298;915
299;935
300;1008
301;899
302;909
303;907
304;908
305;1188
306;1230
307;926
308;924
309;920
310;987
311;918
312;920
313;919
314;925
315;924
316;1248
317;993
318;935
319;934
320;947
321;936
322;933
323;968
324;940
325;949
326;939
327;943
328;945
329;942
330;975
331;1041
332;997
333;980
334;950
335;954
336;968
337;959
338;955
339;966
340;1004
341;1059
342;999
343;993
344;968
345;978
346;953
347;1446
348;963
349;1002
350;1015
351;961
352;961
353;978
354;969
355;970
356;965
357;961
358;969
359;1005
360;1150
361;1024
362;1024
363;1029
364;1131
365;983
366;986
367;986
368;984
369;1026
370;1047
371;995
372;985
373;996
374;1007
375;997
376;1079
377;1126
378;1047
379;1135
380;1035
381;1062
382;1051
383;1037
384;1033
385;1045
386;1038
387;1045
388;1054
389;1067
390;1057
391;1194
392;1213
393;1049
394;1121
395;1118
396;1161
397;1197
398;1249
399;1244
400;1253
401;1310
402;1373
403;1327
404;1409
405;1322
406;1310
407;1349
408;1328
409;1320
410;1254
411;1189
412;1186
413;1191
414;1194
415;1208
416;1248
417;1208
418;1083
419;1093
420;1094
421;1102
422;1092
423;1096
424;1106
425;1102
426;1104
427;1102
428;1117
429;1111
430;1526
431;1258
432;1120
433;1136
434;1117
435;1112
436;1122
437;1115
438;1126
439;1131
440;1121
441;1132
442;1129
443;1217
444;1183
445;1141
446;1141
447;1195
448;1203
449;1132
450;1137
451;1152
452;1151
453;1149
454;1153
455;1161
456;1591
457;1192
458;1252
459;1205
460;1179
461;1207
462;1232
463;1256
464;1290
465;1280
466;1240
467;1244
468;1294
469;1207
470;1229
471;1182
472;1188
473;1182
474;1182
475;1189
476;1194
477;1202
478;1191
479;1209
480;1203
481;1685
482;1251
483;1205
484;1224
485;1455
486;1197
487;1215
488;1281
489;1270
490;1339
491;1371
492;1468
493;1423
494;1433
495;1412
496;1338
497;1314
498;1263
499;1221
