x;y
500;1155
600;2493
700;2290
800;1934
900;2510
1000;2720
1100;2878
1200;3700
1300;3698
1400;3692
1500;3995
1600;4191
1700;4350
1800;4574
1900;4994
2000;5305
2100;6553
2200;6710
2300;6623
2400;7621
2500;8274
2600;8692
2700;7929
2800;8697
2900;9488
3000;8932
3100;9531
3200;9540
3300;10376
3400;10423
3500;10426
3600;10917
3700;11669
3800;12574
3900;11369
4000;16665
4100;14597
4200;13965
4300;15830
4400;14736
4500;14609
4600;15027
4700;17873
4800;17522
4900;18244
5000;17249
5100;19476
5200;20381
5300;21564
5400;20164
5500;24608
5600;20621
5700;20019
5800;20718
5900;20309
6000;20848
6100;20884
6200;22665
6300;22148
6400;21682
6500;22857
6600;21680
6700;28232
6800;24534
6900;22243
7000;22663
7100;23361
7200;21991
7300;23464
7400;22680
7500;23217
7600;23321
7700;22957
7800;24184
7900;25081
8000;24455
8100;24416
8200;25270
8300;26092
8400;25480
8500;26379
8600;28011
8700;29774
8800;66881
8900;86667
9000;33281
9100;34693
9200;34691
9300;40333
9400;46231
9500;43654
9600;37038
9700;38020
9800;38618
9900;38088
