x;y
500;1516
600;2161
700;2060
800;3039
900;3320
1000;3740
1100;4525
1200;4638
1300;4454
1400;4296
1500;5666
1600;7897
1700;11522
1800;8889
1900;9360
2000;9109
2100;10339
2200;8894
2300;8316
2400;8708
2500;9264
2600;10568
2700;9762
2800;10729
2900;11378
3000;13787
3100;15365
3200;16590
3300;20474
3400;14101
3500;14616
3600;14944
3700;18083
3800;16126
3900;16080
4000;15428
4100;13960
4200;16535
4300;18907
4400;22539
4500;22973
4600;19242
4700;19748
4800;18612
4900;17584
5000;21599
5100;20235
5200;22201
5300;20066
5400;19340
5500;20084
5600;21937
5700;72292
5800;38304
5900;24996
6000;24611
6100;28879
6200;27918
6300;26429
6400;28223
6500;30532
6600;28895
6700;29636
6800;30339
6900;29856
7000;34162
7100;30578
7200;30035
7300;31132
7400;29098
7500;28624
7600;30460
7700;28943
7800;30440
7900;29929
8000;29975
8100;30931
8200;31033
8300;31278
8400;32535
8500;31793
8600;35979
8700;36696
8800;34142
8900;33889
9000;35478
9100;34082
9200;34495
9300;35017
9400;36246
9500;35821
9600;35954
9700;35643
9800;38371
9900;37275
