x;y
10;0
11;0
12;0
13;0
14;0
15;0
16;5
17;21
18;22
19;36
20;21
21;20
22;20
23;22
24;20
25;20
26;23
27;24
28;41
29;26
30;39
31;31
32;30
33;64
34;75
35;66
36;62
37;61
38;82
39;83
40;63
41;62
42;64
43;67
44;86
45;71
46;71
47;77
48;74
49;72
50;76
51;76
52;118
53;116
54;84
55;81
56;84
57;88
58;85
59;88
60;94
61;91
62;91
63;100
64;122
65;130
66;123
67;140
68;152
69;155
70;153
71;157
72;158
73;162
74;164
75;164
76;303
77;227
78;260
79;327
80;238
81;214
82;184
83;188
84;185
85;186
86;188
87;190
88;195
89;192
90;211
91;228
92;236
93;263
94;203
95;186
96;191
97;198
98;193
99;212
100;203
101;206
102;205
103;209
104;228
105;213
106;222
107;218
108;242
109;223
110;230
111;229
112;247
113;227
114;227
115;230
116;231
117;249
118;224
119;233
120;229
121;256
122;240
123;236
124;244
125;267
126;250
127;256
128;271
129;279
130;297
131;317
132;394
133;360
134;393
135;403
136;416
137;497
138;437
139;455
140;445
141;448
142;430
143;432
144;430
145;431
146;437
147;438
148;446
149;435
150;434
151;437
152;429
153;431
154;441
155;434
156;440
157;448
158;430
159;430
160;432
161;427
162;433
163;436
164;455
165;437
166;449
167;414
168;449
169;411
170;411
171;419
172;410
173;659
174;617
175;462
176;410
177;428
178;413
179;423
180;419
181;425
182;421
183;416
184;424
185;432
186;432
187;461
188;478
189;430
190;432
191;433
192;435
193;431
194;439
195;437
196;438
197;441
198;444
199;447
200;448
201;442
202;449
203;449
204;448
205;456
206;450
207;524
208;473
209;487
210;476
211;466
212;463
213;464
214;468
215;462
216;469
217;468
218;468
219;474
220;476
221;480
222;477
223;480
224;483
225;480
226;483
227;485
228;500
229;482
230;492
231;490
232;492
233;491
234;498
235;494
236;520
237;501
238;497
239;514
240;854
241;658
242;509
243;512
244;514
245;505
246;512
247;521
248;527
249;530
250;506
251;549
252;511
253;539
254;526
255;526
256;529
257;544
258;573
259;583
260;598
261;619
262;630
263;652
264;668
265;690
266;760
267;723
268;832
269;716
270;741
271;773
272;788
273;879
274;1108
275;824
276;809
277;818
278;974
279;862
280;855
281;864
282;959
283;1011
284;980
285;933
286;903
287;902
288;906
289;904
290;932
291;910
292;855
293;824
294;822
295;1042
296;812
297;931
298;893
299;843
300;858
301;878
302;1035
303;919
304;842
305;840
306;838
307;840
308;849
309;838
310;880
311;858
312;851
313;849
314;871
315;864
316;848
317;858
318;861
319;979
320;1101
321;969
322;932
323;969
324;1290
325;1138
326;894
327;913
328;895
329;881
330;875
331;883
332;884
333;878
334;878
335;988
336;1607
337;1514
338;1506
339;1508
340;1509
341;1521
342;1516
343;1501
344;1628
345;1512
346;1915
347;1513
348;1516
349;1160
350;935
351;956
352;1011
353;1021
354;1055
355;1068
356;1032
357;1035
358;1043
359;1086
360;1068
361;1011
362;1021
363;1055
364;1117
365;1127
366;1137
367;1167
368;1107
369;1078
370;1083
371;1053
372;1050
373;1044
374;1095
375;1046
376;941
377;939
378;938
379;944
380;945
381;952
382;952
383;950
384;951
385;954
386;956
387;955
388;958
389;961
390;1170
391;1022
392;958
393;1082
394;1050
395;1020
396;1022
397;1010
398;1027
399;1049
400;1014
401;1031
402;980
403;1030
404;985
405;1367
406;1146
407;1004
408;1018
409;1047
410;1089
411;1108
412;1185
413;1171
414;1175
415;1196
416;1257
417;1264
418;1287
419;1277
420;1311
421;1279
422;1234
423;1221
424;1162
425;1132
426;1100
427;1075
428;1064
429;1062
430;1051
431;1032
432;1563
433;1035
434;1025
435;1031
436;1034
437;1043
438;1063
439;1031
440;1044
441;1037
442;1043
443;1041
444;1045
445;1045
446;1105
447;1104
448;1109
449;1054
450;1082
451;1063
452;1462
453;1242
454;1234
455;1267
456;1166
457;1122
458;1151
459;1141
460;1420
461;1320
462;1078
463;1129
464;1575
465;1223
466;1087
467;1082
468;1103
469;1091
470;1228
471;1317
472;1258
473;1096
474;1125
475;1115
476;1101
477;1105
478;1335
479;1375
480;1189
481;1086
482;1123
483;1114
484;1122
485;1121
486;1698
487;1092
488;1218
489;1128
490;1121
491;1126
492;1125
493;1127
494;1131
495;1141
496;1130
497;1167
498;1134
499;1466
