x;y
500;2924
600;4369
700;6128
800;7431
900;12881
1000;11177
1100;11573
1200;10653
1300;11149
1400;10058
1500;10993
1600;14225
1700;18875
1800;16673
1900;13523
2000;13876
2100;15059
2200;15900
2300;16664
2400;21838
2500;18781
2600;44851
2700;47264
2800;29119
2900;37449
3000;24507
3100;26961
3200;25947
3300;26280
3400;28837
3500;24885
3600;24018
3700;24847
3800;24831
3900;26465
4000;27715
4100;29478
4200;39557
4300;32077
4400;32437
4500;33646
4600;33171
4700;35337
4800;33250
4900;37856
5000;40845
5100;38973
5200;38368
5300;41098
5400;41751
5500;40153
5600;42025
5700;44609
5800;51765
5900;46683
6000;55426
6100;52603
6200;48875
6300;49891
6400;47531
6500;47787
6600;55921
6700;50302
6800;58571
6900;55032
7000;51577
7100;51637
7200;53002
7300;121930
7400;52372
7500;51772
7600;53077
7700;54382
7800;57914
7900;53416
8000;63845
8100;70355
8200;67327
8300;58463
8400;57059
8500;62258
8600;65440
8700;59470
8800;65842
8900;67607
9000;72024
9100;74122
9200;77687
9300;77829
9400;72853
9500;76003
9600;81481
9700;77800
9800;83145
9900;88794
