x;y
10;78
11;47
12;51
13;53
14;70
15;59
16;81
17;62
18;72
19;82
20;99
21;103
22;102
23;132
24;129
25;136
26;133
27;136
28;136
29;145
30;143
31;162
32;151
33;167
34;174
35;195
36;195
37;209
38;218
39;226
40;241
41;272
42;266
43;276
44;293
45;283
46;345
47;340
48;461
49;341
50;342
51;322
52;346
53;309
54;280
55;353
56;539
57;543
58;541
59;545
60;544
61;561
62;544
63;546
64;800
65;794
66;597
67;652
68;641
69;658
70;677
71;698
72;707
73;732
74;745
75;905
76;1139
77;871
78;815
79;861
80;656
81;480
82;515
83;457
84;495
85;496
86;530
87;854
88;560
89;551
90;522
91;576
92;546
93;557
94;601
95;564
96;581
97;571
98;574
99;574
100;783
101;674
102;638
103;585
104;669
105;615
106;634
107;602
108;602
109;602
110;614
111;592
112;693
113;672
114;757
115;600
116;624
117;615
118;616
119;615
120;621
121;626
122;630
123;625
124;646
125;651
126;707
127;666
128;629
129;815
130;955
131;698
132;701
133;704
134;722
135;818
136;869
137;1035
138;881
139;775
140;788
141;795
142;806
143;813
144;831
145;1066
146;1059
147;909
148;870
149;903
150;865
151;888
152;901
153;1027
154;1209
155;892
156;1005
157;950
158;950
159;951
160;968
161;1410
162;1449
163;1236
164;963
165;1013
166;1033
167;1106
168;1728
169;1104
170;1058
171;1064
172;1125
173;1156
174;1211
175;1262
176;1303
177;1232
178;1290
179;1266
180;1253
181;1234
182;1199
183;1393
184;1184
185;1175
186;1195
187;1185
188;1441
189;1235
190;1181
191;1183
192;1214
193;1266
194;1321
195;1314
196;1194
197;1196
198;1200
199;1204
200;1539
201;1264
202;1250
203;1295
204;1295
205;1287
206;1372
207;1440
208;1273
209;1280
210;1261
211;1255
212;1551
213;1509
214;1278
215;1273
216;1255
217;1255
218;1386
219;1439
220;1264
221;1265
222;1265
223;1260
224;1556
225;1358
226;1311
227;1284
228;1286
229;1303
230;1429
231;1501
232;1340
233;1298
234;1299
235;1416
236;1971
237;1391
238;1317
239;1317
240;1318
241;1317
242;1385
243;1524
244;1459
245;1306
246;1486
247;1444
248;1336
249;1326
250;1336
251;1347
252;1338
253;1334
254;1458
255;2020
256;1451
257;2031
258;2512
259;2378
260;2429
261;2432
262;2700
263;2438
264;1807
265;1610
266;1674
267;1567
268;1581
269;1620
270;1791
271;1824
272;1702
273;1978
274;1770
275;1891
276;1950
277;1922
278;1893
279;1786
280;1825
281;1874
282;1791
283;1742
284;1744
285;1869
286;1924
287;2046
288;2190
289;2257
290;1989
291;1957
292;1919
293;2017
294;1968
295;2047
296;2134
297;2345
298;2246
299;1987
300;2100
301;3762
302;3143
303;4499
304;4471
305;4139
306;4263
307;3593
308;2022
309;1961
310;2026
311;2024
312;2050
313;2328
314;2377
315;2419
316;2156
317;2266
318;2277
319;2280
320;2272
321;2234
322;2540
323;2055
324;2011
325;2027
326;2038
327;2494
328;2112
329;2474
330;2469
331;2698
332;3257
333;2812
334;2873
335;3959
336;3612
337;4139
338;3717
339;2239
340;3732
341;2660
342;2764
343;3994
344;4359
345;3459
346;5132
347;4482
348;3475
349;3070
350;3786
351;4488
352;5020
353;3123
354;3087
355;2933
356;3332
357;2915
358;3680
359;3458
360;3027
361;4653
362;3607
363;3373
364;2997
365;3018
366;2767
367;2880
368;3078
369;3059
370;3075
371;2868
372;2718
373;2742
374;4336
375;2564
376;2676
377;2790
378;3110
379;3456
380;2915
381;3192
382;3111
383;3053
384;4784
385;3661
386;2866
387;3136
388;3565
389;3242
390;2880
391;2884
392;2966
393;3028
394;3480
395;3162
396;3028
397;2698
398;4189
399;5413
400;5463
401;4177
402;4238
403;10976
404;5893
405;28296
406;6516
407;6137
408;6086
409;8115
410;7928
411;17711
412;3206
413;3981
414;3778
415;3342
416;3406
417;4038
418;3130
419;3029
420;3023
421;3213
422;4861
423;3243
424;2888
425;2839
426;3512
427;4262
428;2971
429;3190
430;2805
431;3259
432;4803
433;3467
434;2729
435;2931
436;2853
437;2899
438;3032
439;3178
440;2788
441;2872
442;3332
443;3486
444;2663
445;2637
446;2811
447;2734
448;3360
449;2907
450;3600
451;3074
452;2705
453;3690
454;3185
455;2871
456;3109
457;3185
458;3183
459;3905
460;2748
461;3116
462;2655
463;2965
464;3825
465;2679
466;2844
467;2789
468;2695
469;3669
470;2801
471;2815
472;2979
473;2818
474;2901
475;3020
476;3005
477;3248
478;3199
479;3371
480;3299
481;3130
482;3159
483;3009
484;2862
485;3504
486;2837
487;2900
488;2798
489;2766
490;2874
491;3213
492;3096
493;2929
494;2781
495;2906
496;3052
497;4106
498;3999
499;2855
