x;y
500;5811
600;9882
700;7254
800;9320
900;10504
1000;8282
1100;11071
1200;9176
1300;11377
1400;13803
1500;17158
1600;14901
1700;18031
1800;15729
1900;14009
2000;13258
2100;14762
2200;16992
2300;24760
2400;19922
2500;19763
2600;22082
2700;24657
2800;27604
2900;24482
3000;27723
3100;26147
3200;26315
3300;26449
3400;29030
3500;28513
3600;30721
3700;28072
3800;28611
3900;30174
4000;31547
4100;29574
4200;30955
4300;84693
4400;38775
4500;42513
4600;35927
4700;38562
4800;50112
4900;62525
5000;49091
5100;49822
5200;48913
5300;43777
5400;46626
5500;48534
5600;46966
5700;46862
5800;56595
5900;53739
6000;68770
6100;54894
6200;63664
6300;56165
6400;57071
6500;78328
6600;55126
6700;57223
6800;61191
6900;57087
7000;69329
7100;59535
7200;62027
7300;100911
7400;77772
7500;133081
7600;80257
7700;65300
7800;62779
7900;59763
8000;65452
8100;60461
8200;67981
8300;64743
8400;63073
8500;69175
8600;84457
8700;78328
8800;78466
8900;73778
9000;72113
9100;79958
9200;77829
9300;82355
9400;86503
9500;95016
9600;84175
9700;84545
9800;86641
9900;86521
