x;y
10;66
11;59
12;127
13;51
14;88
15;92
16;85
17;73
18;81
19;92
20;100
21;103
22;112
23;117
24;124
25;146
26;131
27;130
28;128
29;129
30;131
31;136
32;147
33;156
34;164
35;172
36;184
37;187
38;256
39;204
40;236
41;291
42;229
43;231
44;240
45;250
46;254
47;262
48;268
49;286
50;281
51;298
52;316
53;303
54;305
55;337
56;290
57;340
58;428
59;322
60;298
61;302
62;302
63;302
64;306
65;382
66;343
67;353
68;365
69;370
70;396
71;397
72;446
73;426
74;438
75;543
76;461
77;524
78;478
79;516
80;485
81;495
82;478
83;643
84;591
85;515
86;529
87;566
88;649
89;811
90;703
91;651
92;650
93;620
94;711
95;752
96;752
97;706
98;685
99;676
100;667
101;1067
102;739
103;892
104;816
105;786
106;929
107;884
108;728
109;734
110;720
111;739
112;747
113;747
114;769
115;756
116;965
117;781
118;779
119;776
120;904
121;815
122;896
123;769
124;747
125;899
126;855
127;774
128;732
129;759
130;814
131;813
132;808
133;910
134;1070
135;1144
136;1006
137;1388
138;1486
139;1037
140;972
141;984
142;964
143;1018
144;976
145;968
146;1071
147;1047
148;1017
149;1207
150;1461
151;1603
152;1359
153;1115
154;1030
155;1047
156;1114
157;1073
158;1069
159;1073
160;1077
161;1104
162;1066
163;1728
164;1570
165;1308
166;1101
167;1136
168;1171
169;1217
170;1216
171;1236
172;1347
173;1255
174;1293
175;1382
176;1416
177;1330
178;1404
179;1493
180;1490
181;1493
182;1472
183;1409
184;1482
185;1477
186;1591
187;1496
188;1394
189;1365
190;1368
191;1433
192;1453
193;1425
194;1421
195;1432
196;1433
197;1655
198;2241
199;1490
200;1412
201;1409
202;1487
203;1456
204;1389
205;1408
206;1529
207;1598
208;1527
209;1434
210;1520
211;1552
212;1664
213;1674
214;1614
215;1688
216;1628
217;1757
218;1505
219;1589
220;1512
221;1424
222;1341
223;1336
224;1352
225;1346
226;1405
227;1520
228;1943
229;1784
230;1476
231;1488
232;1488
233;1526
234;1804
235;1406
236;1379
237;1796
238;2155
239;1634
240;1422
241;1559
242;1419
243;1395
244;1401
245;1432
246;1422
247;1628
248;1812
249;1900
250;1486
251;1677
252;1539
253;1692
254;2150
255;1648
256;1970
257;1536
258;1612
259;1492
260;1638
261;1681
262;1835
263;1688
264;1634
265;1948
266;1626
267;2033
268;1660
269;1625
270;1724
271;2250
272;2341
273;2247
274;1749
275;1837
276;1891
277;1756
278;1881
279;2017
280;2408
281;2288
282;1811
283;2041
284;1955
285;1811
286;1809
287;1980
288;2363
289;1990
290;1896
291;2060
292;2163
293;2052
294;1934
295;2500
296;1917
297;2230
298;2052
299;2304
300;1965
301;1955
302;1968
303;2017
304;2240
305;2772
306;2110
307;2095
308;2201
309;2331
310;2369
311;2515
312;2295
313;2564
314;2475
315;2508
316;2516
317;2477
318;2211
319;2131
320;2190
321;2172
322;2276
323;2403
324;2426
325;2270
326;2369
327;2788
328;2231
329;2222
330;2592
331;2548
332;2239
333;2652
334;2337
335;2260
336;2264
337;2681
338;2367
339;2506
340;2497
341;2409
342;2444
343;2602
344;2449
345;2385
346;2792
347;2400
348;2488
349;2685
350;2612
351;2376
352;2720
353;2401
354;2408
355;2542
356;2737
357;2454
358;2587
359;2680
360;2457
361;2532
362;3084
363;2476
364;2559
365;2789
366;2493
367;2582
368;3722
369;2925
370;3338
371;2586
372;2708
373;3342
374;2627
375;2719
376;2716
377;2580
378;2836
379;2643
380;2605
381;3285
382;2644
383;2630
384;2936
385;2745
386;2765
387;2970
388;3236
389;3241
390;2922
391;2689
392;2863
393;2851
394;2670
395;3489
396;2670
397;2675
398;3029
399;2759
400;2905
401;2703
402;3583
403;2926
404;2893
405;3135
406;3289
407;2718
408;2748
409;3160
410;3237
411;5000
412;8900
413;6619
414;5704
415;6101
416;6065
417;5955
418;6069
419;5898
420;5921
421;5131
422;3131
423;3815
424;5233
425;3596
426;4543
427;3043
428;6882
429;2831
430;3093
431;3184
432;3371
433;3079
434;2951
435;3067
436;3340
437;3245
438;3057
439;3331
440;3509
441;3580
442;3414
443;3244
444;3086
445;3047
446;2961
447;2832
448;2834
449;2861
450;2841
451;3316
452;2856
453;2998
454;2864
455;2860
456;2941
457;2908
458;2873
459;2859
460;3028
461;2823
462;3363
463;2890
464;2862
465;2823
466;2956
467;2949
468;2890
469;2869
470;2955
471;2908
472;3164
473;3034
474;2945
475;2988
476;2933
477;2992
478;2945
479;2938
480;2944
481;2954
482;2958
483;3532
484;3363
485;3573
486;3613
487;4182
488;3505
489;3830
490;3471
491;3561
492;3500
493;3211
494;3166
495;3204
496;3141
497;3032
498;3129
499;3010
