x;y
500;2871
600;4199
700;5030
800;6315
900;5969
1000;6644
1100;7307
1200;10200
1300;9784
1400;12920
1500;11726
1600;13065
1700;11875
1800;13976
1900;14008
2000;13500
2100;14341
2200;15537
2300;16956
2400;19309
2500;23717
2600;25074
2700;26563
2800;26752
2900;23447
3000;25573
3100;28781
3200;24387
3300;26049
3400;26707
3500;28581
3600;27442
3700;25611
3800;26616
3900;27457
4000;26869
4100;29367
4200;27519
4300;31296
4400;34134
4500;32899
4600;48142
4700;48615
4800;39856
4900;37782
5000;39988
5100;42689
5200;38465
5300;48193
5400;38998
5500;39724
5600;49762
5700;54160
5800;52146
5900;49956
6000;49723
6100;57469
6200;51633
6300;48579
6400;50195
6500;66221
6600;52906
6700;55236
6800;61285
6900;50139
7000;50336
7100;50100
7200;80234
7300;72420
7400;55141
7500;50483
7600;51654
7700;50862
7800;112375
7900;61529
8000;61016
8100;59920
8200;65943
8300;57987
8400;59746
8500;58287
8600;64078
8700;60887
8800;68286
8900;63528
9000;76164
9100;78236
9200;87622
9300;79583
9400;78858
9500;87183
9600;74739
9700;79200
9800;80449
9900;75726
