x;y
10;97
11;98
12;82
13;73
14;103
15;98
16;100
17;127
18;135
19;162
20;167
21;134
22;121
23;116
24;127
25;127
26;131
27;133
28;139
29;137
30;140
31;139
32;153
33;156
34;171
35;214
36;225
37;231
38;234
39;252
40;267
41;338
42;248
43;341
44;325
45;307
46;287
47;300
48;310
49;309
50;317
51;317
52;318
53;322
54;323
55;321
56;332
57;347
58;325
59;331
60;346
61;360
62;364
63;362
64;340
65;361
66;367
67;379
68;391
69;416
70;412
71;439
72;399
73;404
74;417
75;422
76;430
77;436
78;447
79;453
80;469
81;475
82;475
83;605
84;494
85;513
86;509
87;533
88;527
89;529
90;543
91;531
92;541
93;547
94;556
95;566
96;570
97;569
98;571
99;578
100;579
101;579
102;589
103;588
104;590
105;594
106;591
107;591
108;596
109;667
110;950
111;630
112;606
113;611
114;612
115;612
116;618
117;624
118;624
119;628
120;634
121;626
122;633
123;630
124;630
125;636
126;640
127;640
128;642
129;658
130;671
131;683
132;759
133;708
134;724
135;749
136;781
137;753
138;811
139;834
140;788
141;803
142;808
143;821
144;824
145;833
146;847
147;852
148;866
149;867
150;873
151;995
152;1338
153;909
154;919
155;920
156;923
157;936
158;996
159;963
160;965
161;1032
162;1072
163;1034
164;974
165;1003
166;1005
167;1233
168;1188
169;1129
170;1204
171;1429
172;1105
173;1315
174;1310
175;1177
176;1439
177;1195
178;1181
179;1538
180;2074
181;1806
182;1408
183;1223
184;1253
185;1502
186;1461
187;1348
188;1410
189;1392
190;1332
191;1273
192;1210
193;1188
194;1190
195;1257
196;1226
197;1262
198;1240
199;1242
200;1244
201;1542
202;1496
203;1431
204;1290
205;1306
206;1300
207;1295
208;1359
209;1391
210;1440
211;1519
212;1638
213;1505
214;1553
215;1595
216;1635
217;1492
218;1546
219;1468
220;1530
221;1437
222;1542
223;1586
224;1384
225;1315
226;1313
227;1310
228;1312
229;1286
230;1288
231;1300
232;1336
233;1361
234;1304
235;1526
236;1525
237;1307
238;1313
239;1315
240;1360
241;1621
242;1436
243;1324
244;1510
245;1639
246;1983
247;1508
248;1330
249;1340
250;1344
251;1609
252;1864
253;1386
254;1614
255;1683
256;1397
257;1418
258;1432
259;1554
260;1756
261;1544
262;1853
263;1580
264;2246
265;1561
266;1623
267;1709
268;1517
269;1523
270;1586
271;1929
272;1777
273;1718
274;1602
275;1686
276;1914
277;1665
278;1631
279;1668
280;1643
281;1663
282;1871
283;1927
284;1687
285;1696
286;1711
287;1713
288;1769
289;1737
290;1740
291;1854
292;1743
293;1768
294;1769
295;1821
296;1799
297;1797
298;1807
299;1967
300;2191
301;1842
302;1833
303;1813
304;1868
305;1943
306;1852
307;2192
308;2232
309;1949
310;1962
311;2107
312;2191
313;2312
314;2311
315;2290
316;2045
317;2020
318;2029
319;2022
320;2001
321;2007
322;2071
323;2030
324;2066
325;2057
326;2043
327;2055
328;2086
329;2068
330;2607
331;2107
332;2105
333;2171
334;2111
335;2111
336;2124
337;2358
338;2167
339;2116
340;2108
341;2147
342;2215
343;2132
344;2554
345;2308
346;2197
347;2188
348;2166
349;2179
350;2184
351;2720
352;2586
353;2210
354;2244
355;2904
356;2218
357;2844
358;2768
359;2403
360;2654
361;2623
362;2318
363;2626
364;3546
365;2360
366;2765
367;2582
368;2368
369;3180
370;2546
371;2406
372;2486
373;2515
374;2448
375;2953
376;2856
377;3031
378;2766
379;2612
380;2475
381;3591
382;3286
383;2954
384;2741
385;2672
386;2936
387;2543
388;2543
389;2593
390;2674
391;2568
392;2691
393;2723
394;2583
395;2522
396;2754
397;2599
398;2784
399;2824
400;2518
401;2641
402;2637
403;3053
404;2747
405;2691
406;2560
407;2876
408;2610
409;2633
410;3039
411;2671
412;2552
413;3010
414;2930
415;2584
416;3225
417;2672
418;2574
419;3256
420;2913
421;3016
422;2807
423;2587
424;3117
425;3144
426;2723
427;3477
428;2608
429;2677
430;3024
431;2845
432;2865
433;2901
434;2628
435;3118
436;3085
437;2788
438;2990
439;2960
440;3204
441;3205
442;2978
443;2813
444;2749
445;2658
446;3237
447;2665
448;2691
449;3169
450;2635
451;3168
452;3279
453;2869
454;3006
455;3033
456;3186
457;2888
458;2740
459;2876
460;2851
461;3004
462;3013
463;2747
464;2773
465;3494
466;2737
467;3660
468;2753
469;2738
470;2912
471;2703
472;2815
473;3486
474;2780
475;3032
476;2845
477;2942
478;3430
479;2844
480;2820
481;3363
482;3098
483;2947
484;2860
485;2767
486;2989
487;2812
488;3209
489;2938
490;2756
491;2773
492;2772
493;2926
494;2815
495;3066
496;2893
497;3052
498;3093
499;3005
